,index,Activation,Simulation,Test_RMSE,ExLipBaB,runtime_Exlipbab,Layerwise_Bound,runtime_layerwise,Layer_1_Norm,Layer_2_Norm,Layer_3_Norm
0,0,ReLU,0,0.10440719872713089,1.2413605265794627,0.013800859451293945,2.7602634,0.00018787384033203125,1.7834281,1.3037705,1.1871177
1,0,ReLU,1,0.10867737978696823,1.0132462130014432,0.03139019012451172,3.171984,0.0001499652862548828,1.6112303,1.3273461,1.4831641
2,0,ReLU,2,0.10203386843204498,1.394113802729269,0.0166013240814209,3.0930035,0.00012254714965820312,1.7011228,1.4408021,1.261945
3,0,ReLU,3,0.09585350751876831,1.4222400839381222,0.02554798126220703,3.326614,0.00012254714965820312,1.793331,1.3998984,1.32509
4,0,ReLU,4,0.10454011708498001,1.108953194180276,0.03573346138000488,3.4042196,0.00012111663818359375,1.8472614,1.3902684,1.3255329
5,0,ReLU,5,0.09836568683385849,1.0253532365164328,0.03218674659729004,2.6278915,0.0001277923583984375,1.8885803,1.2368292,1.1250253
6,0,ReLU,6,0.10263007879257202,1.597172033142249,0.027350664138793945,3.3883812,0.0001220703125,1.6765287,1.358225,1.4880227
7,0,ReLU,7,0.10262016206979752,1.5174101382462266,0.02301788330078125,3.5148754,0.0001246929168701172,1.5787551,1.5655061,1.4221337
8,0,ReLU,8,0.09981464594602585,1.1836813659435557,0.03136634826660156,3.2026672,0.00016927719116210938,1.5277374,1.4712983,1.4248278
9,0,ReLU,9,0.2613387405872345,0.9190077644007674,0.028952598571777344,2.069071,0.00015425682067871094,1.6395301,1.1345205,1.1123557
10,0,ReLU,10,0.10191740095615387,1.0307095688330985,0.027204036712646484,3.5840068,0.00014328956604003906,2.0057642,1.3570426,1.3167262
11,0,ReLU,11,0.10201544314622879,1.0288798917655695,0.033451080322265625,3.0729759,0.00018072128295898438,1.7616308,1.2189261,1.4310899
12,0,ReLU,12,0.1043987050652504,1.0487124646097885,0.021388769149780273,2.8884964,0.0001347064971923828,1.9146605,1.2375048,1.2190826
13,0,ReLU,13,0.0968509316444397,0.9902642075662339,0.02346944808959961,2.8176706,0.00017142295837402344,1.8391982,1.3524221,1.13279
14,0,ReLU,14,0.09488535672426224,1.0758018000891523,0.030817747116088867,3.22783,0.00012183189392089844,2.0915856,1.1355288,1.3590543
15,0,ReLU,15,0.10171923786401749,1.0225255380306448,0.028783321380615234,2.6257381,0.00018167495727539062,1.3605711,1.4683838,1.3142881
